MIP_ID	Subspecies	Subspecies_MIP_paralog
0098	graecus	no paralog
0098	hybF2	no paralog
0098	montandoni	no data
0098	vulgaris	no data
0099	graecus	no data
0099	hybF2	no data
0099	montandoni	no data
0099	vulgaris	no data
0100	graecus	no paralog
0100	hybF2	no paralog
0100	montandoni	no data
0100	vulgaris	no data
0101	graecus	no paralog
0101	hybF2	no paralog
0101	montandoni	no data
0101	vulgaris	no data
0102	graecus	paralog
0102	hybF2	paralog
0102	montandoni	no data
0102	vulgaris	no data
0103	graecus	no paralog
0103	hybF2	paralog
0103	montandoni	no data
0103	vulgaris	no data
0104	graecus	paralog
0104	hybF2	no paralog
0104	montandoni	no data
0104	vulgaris	no data
0105	graecus	no paralog
0105	hybF2	no paralog
0105	montandoni	no data
0105	vulgaris	no data
0106	graecus	no paralog
0106	hybF2	no paralog
0106	montandoni	no data
0106	vulgaris	no data
0107	graecus	no paralog
0107	hybF2	no paralog
0107	montandoni	no data
0107	vulgaris	no data
0108	graecus	no paralog
0108	hybF2	no paralog
0108	montandoni	no data
0108	vulgaris	no data
0109	graecus	no paralog
0109	hybF2	no paralog
0109	montandoni	no data
0109	vulgaris	no data
0110	graecus	no data
0110	hybF2	no data
0110	montandoni	no data
0110	vulgaris	no data
0111	graecus	no paralog
0111	hybF2	no paralog
0111	montandoni	no data
0111	vulgaris	no data
0112	graecus	no paralog
0112	hybF2	no paralog
0112	montandoni	no data
0112	vulgaris	no data
0113	graecus	no paralog
0113	hybF2	no paralog
0113	montandoni	no data
0113	vulgaris	no data
0114	graecus	no paralog
0114	hybF2	no paralog
0114	montandoni	no data
0114	vulgaris	no data
0115	graecus	no paralog
0115	hybF2	no paralog
0115	montandoni	no data
0115	vulgaris	no data
0116	graecus	no paralog
0116	hybF2	no paralog
0116	montandoni	no data
0116	vulgaris	no data
0117	graecus	no data
0117	hybF2	no data
0117	montandoni	no data
0117	vulgaris	no data
0118	graecus	no paralog
0118	hybF2	no paralog
0118	montandoni	no data
0118	vulgaris	no data
0119	graecus	no paralog
0119	hybF2	no paralog
0119	montandoni	no data
0119	vulgaris	no data
0120	graecus	no paralog
0120	hybF2	no paralog
0120	montandoni	no data
0120	vulgaris	no data
0121	graecus	no paralog
0121	hybF2	no paralog
0121	montandoni	no data
0121	vulgaris	no data
0122	graecus	no paralog
0122	hybF2	no paralog
0122	montandoni	no data
0122	vulgaris	no data
0123	graecus	no paralog
0123	hybF2	no paralog
0123	montandoni	no data
0123	vulgaris	no data
0124	graecus	no paralog
0124	hybF2	no paralog
0124	montandoni	no data
0124	vulgaris	no data
0125	graecus	no paralog
0125	hybF2	no paralog
0125	montandoni	no data
